Question ID,Sentence Position,Male Pronoun,Female Pronoun,Neuter Pronoun,Plural Pronoun
2390,0,0,0,2,0
2390,1,0,0,3,0
2390,2,0,0,7,0
2390,3,1,1,9,1
106503,0,0,0,3,0
106503,1,0,0,4,0
106503,2,0,0,4,0
106503,3,0,0,5,1
165897,0,1,0,0,0
165897,1,3,0,0,0
165897,2,6,0,1,1
165897,3,6,0,1,1
165906,0,0,0,0,0
165906,1,1,0,0,0
165906,2,2,0,0,0
165906,3,3,0,0,0
165906,4,3,0,0,0
165908,0,0,0,0,0
165908,1,1,0,0,0
165908,2,2,0,0,0
165908,3,2,0,0,0
183515,0,1,0,0,0
183515,1,5,0,1,1
183515,2,7,1,1,1
165912,0,0,0,0,0
165912,1,1,0,1,1
165912,2,2,0,1,1
165912,3,2,0,1,1
3956,0,2,1,0,0
3956,1,4,1,0,0
3956,2,6,1,0,0
3956,3,6,1,0,0
4125,0,3,0,0,0
4125,1,4,0,0,0
4125,2,7,0,0,0
4125,3,10,0,0,0
4125,4,10,0,0,0
159067,0,0,0,1,0
159067,1,0,0,1,0
159067,2,0,0,2,1
143399,0,1,0,0,0
143399,1,6,0,1,1
143399,2,7,1,1,1
2089,0,2,0,0,0
2089,1,3,0,1,1
2089,2,9,0,1,1
2089,3,11,0,2,2
2089,4,12,0,2,2
2090,0,2,0,0,0
2090,1,4,0,0,0
2090,2,5,0,0,0
2090,3,6,0,0,0
2090,4,7,1,0,0
163847,0,0,0,1,0
163847,1,0,0,3,1
165933,0,0,0,1,0
165933,1,0,0,2,1
165933,2,0,0,2,1
165933,3,0,0,2,1
108592,0,1,0,1,0
108592,1,5,0,2,2
108592,2,7,1,2,2
2101,0,1,0,0,0
2101,1,2,1,1,0
2101,2,2,1,1,0
2101,3,2,1,2,1
2104,0,0,0,2,0
2104,1,1,1,4,0
2104,2,1,1,5,2
2104,3,2,2,5,4
143420,0,0,0,1,0
143420,1,1,0,3,0
143420,2,1,0,4,0
143420,3,1,0,4,0
2110,0,1,0,1,1
2110,1,3,0,1,1
2110,2,5,0,1,1
2110,3,6,0,1,1
2110,4,8,1,1,1
165954,0,0,0,0,0
165954,1,0,0,0,0
165954,2,0,0,1,1
102468,0,2,1,1,0
102468,1,2,1,2,0
102468,2,2,1,2,0
102468,3,2,1,5,0
102468,4,2,1,5,0
106566,0,1,0,0,0
106566,1,3,0,0,0
106566,2,5,0,0,0
106566,3,6,1,0,0
2119,0,0,0,0,0
2119,1,0,0,1,0
2119,2,0,0,2,1
2119,3,0,0,2,1
2119,4,0,0,2,1
2119,5,0,0,2,1
174157,0,1,0,0,1
174157,1,1,0,0,1
174157,2,2,1,0,1
4177,0,0,0,0,0
4177,1,0,0,3,1
4177,2,0,0,5,1
4177,3,0,0,6,2
4177,4,0,0,8,3
4177,5,0,0,10,4
4177,6,0,0,10,4
106584,0,1,0,0,0
106584,1,2,0,0,0
106584,2,4,0,0,0
106584,3,4,0,0,0
2139,0,1,0,1,1
2139,1,3,1,1,1
2139,2,5,1,1,1
2139,3,8,2,1,1
2139,4,11,2,2,2
2139,5,13,3,2,2
143455,0,0,0,1,1
143455,1,0,0,2,1
143455,2,0,0,2,1
102502,0,1,0,1,0
102502,1,1,0,1,0
102502,2,1,0,1,0
102502,3,2,0,1,0
102502,4,2,0,1,0
102502,5,2,0,1,0
4202,0,0,0,0,0
4202,1,3,0,2,2
