Question ID,Sentence Position,Answer,Pronouns,Top Pronoun,Top Q Mismatch,Clean Q Scores,Top IR Mismatch,Clean IR Scores,category
2390,0,carthage,"['it', 'it']",it,0,"portugal:0.0748547872365, paraguay:0.0487103853552, ethiopia:0.035498772914, suez_crisis:0.0240598682041, jamaica:0.0213090838777, finland:0.0194695593488, emiliano_zapata:0.016724998149, vitus_bering:0.0150284133466, mali_empire:0.00953917596126",0,"carthage:4.46484593046, mali_empire:3.07175457186, ancient_corinth:3.01212692235, teapot_dome_scandal:2.6037119541, jamaica:2.6037119541, byzantine_empire:2.4800311556, paris_commune:2.38758166566, council_of_constance:2.38758166566, safavid_dynasty:2.11277334269, gang_of_four:2.11277334269, cherokee:2.08967018412, gadsden_purchase:1.89950155507",history
2390,1,carthage,"['it', 'it', 'its']",it,0,"battle_of_shiloh:0.033232900633, portugal:0.0265999397752, hittites:0.0142397831655, hittites:0.0142397831655, paraguay:0.0142090385419, emiliano_zapata:0.0121641982969, battle_of_actium:0.0118758916012, hyksos:0.0103782098671, carthage:0.0103271463015",0,"carthage:6.0041482036, ancient_corinth:4.56760101552, ivan_the_terrible:3.03568657219, khmer_empire:2.44717964104, cherokee:2.43951020335, third_crusade:2.24492966601, jacquerie:2.13806703826, battle_of_austerlitz:2.10777692242, byzantine_empire:2.10130813893, teutonic_knights:2.0927306877",history
2390,2,carthage,"['it', 'it', 'its', 'it', 'its', 'its', 'it']",it,0,"hannibal:0.0323164945129, carthage:0.0279183721093, paraguay:0.0240669914741, vandals:0.0239426417275, portugal:0.0161407677418, hyksos:0.0122718006529, mali_empire:0.0117851555407, hittites:0.0111101876032, hittites:0.0111101876032, babur:0.00977806468768, battle_of_shiloh:0.00909129332147",0,"carthage:6.40252637044, ancient_corinth:5.30113518004, byzantine_empire:3.89852275404, first_crusade:3.09504340564, vandals:2.9386244031, attila:2.71186978014, ivan_the_terrible:2.33985835051, umayyad_caliphate:2.03757782331, fourth_crusade:2.0205697997",history
2390,3,carthage,"['it', 'it', 'its', 'it', 'its', 'its', 'it', 'its']",it,0,"carthage:0.120553743404, hannibal:0.034105678386, vandals:0.0246747601716, hittites:0.0156041926779, hittites:0.0156041926779, paraguay:0.0142813878872, hyksos:0.0107825278384, mali_empire:0.0105653164138, byzantine_empire:0.00927727206872, emiliano_zapata:0.00776270285036, parthian_empire:0.00760760823831, tang_dynasty:0.00744622890744",0,"carthage:6.74579468525, ancient_corinth:4.38164752177, byzantine_empire:3.70234915363, vandals:3.00069548164, attila:2.63066890115, first_crusade:2.59571368375, safavid_dynasty:2.00178023611",history
106503,0,congress_of_vienna,"['it', 'it', 'it']",it,0,"battle_of_austerlitz:0.06581875769, treaty_of_brest-litovsk:0.0211007800884, council_of_constance:0.016784942076, atlantic_charter:0.0159711766025, labour_party_(uk):0.0151943068445, solon:0.0122581462291, night_of_the_long_knives:0.0118143238919, meiji_restoration:0.00989676559274, diet_of_worms:0.00975165029797, peasants'_revolt:0.0096835213499, suez_crisis:0.00901672961124, teutonic_knights:0.00896420970994, homestead_strike:0.00883961760678, gunpowder_plot:0.00811084426317, gunpowder_plot:0.00811084426317, seneca_falls_convention:0.00806387015904, battle_of_caporetto:0.00798045924073",0,"congress_of_vienna:3.78992924717, crimean_war:2.86341111589, battle_of_austerlitz:2.12654109917, emiliano_zapata:2.03511177424, hannibal:1.99569596068, boxer_rebellion:1.98235978803",history
106503,1,congress_of_vienna,"['it', 'it', 'it', 'it']",it,0,"treaty_of_brest-litovsk:0.0290714511706, congress_of_vienna:0.0258778274298, council_of_constance:0.0241473372817, louisiana_purchase:0.0181037571314, atlantic_charter:0.0166075111719, meiji_restoration:0.0131351661464, lateran_treaty:0.0131015412626, battle_of_austerlitz:0.0114690350121, council_of_trent:0.0104656592134, treaty_of_ghent:0.00957602764316, league_of_nations:0.00777007134523",0,"congress_of_vienna:3.91160914684, crimean_war:2.07705519349, league_of_nations:1.98664444406, otto_von_bismarck:1.9243750235, treaty_of_waitangi:1.76747990104, louisiana_purchase:1.72424021671, portugal:1.68977253094",history
106503,2,congress_of_vienna,"['it', 'it', 'it', 'it']",it,0,"congress_of_vienna:0.18004693222, teutonic_knights:0.0257698900839, peace_of_westphalia:0.0214695834898, hanseatic_league:0.0207373914319, lateran_treaty:0.0155325444503, council_of_constance:0.0145052190105, council_of_trent:0.0123860260616, battle_of_austerlitz:0.0101156069607, thirty_years'_war:0.00991510375103, louisiana_purchase:0.00942473743753, league_of_nations:0.00867322782456, war_of_devolution:0.00831189671722, battle_of_the_bulge:0.00789714616741, treaty_of_brest-litovsk:0.00787803434607, otto_von_bismarck:0.00747606443652, monroe_doctrine:0.00728887211052, atlantic_charter:0.00722647426849, third_crusade:0.00675142324444",0,"congress_of_vienna:7.0196528341, thirty_years'_war:3.0990340059, otto_von_bismarck:2.77546634542, great_northern_war:2.76210796814, hanseatic_league:2.55233061278, league_of_nations:2.4268163588, battle_of_austerlitz:2.34652108478, crimean_war:2.05246849713, teutonic_knights:2.01888968328, war_of_the_spanish_succession:1.78924338559, boxer_rebellion:1.68802585141",history
106503,3,congress_of_vienna,"['it', 'it', 'it', 'it']",it,0,"congress_of_vienna:0.224345119428, teutonic_knights:0.0199585218791, lateran_treaty:0.0188224845075, peace_of_westphalia:0.0164178376399, council_of_constance:0.0141442484625, council_of_trent:0.0129912449641, hanseatic_league:0.0120062518027, battle_of_austerlitz:0.0107729643775, louisiana_purchase:0.00993026391301, otto_von_bismarck:0.00907986078182, thirty_years'_war:0.00844821664624, league_of_nations:0.00815851151405, third_crusade:0.00733490460841, war_of_devolution:0.00715492008458, congress_of_berlin:0.00670263469064, monroe_doctrine:0.00665237493906, battle_of_caporetto:0.00663298472648, atlantic_charter:0.00641873964529",0,"congress_of_vienna:6.65354658301, otto_von_bismarck:3.17645485562, thirty_years'_war:2.99246902167, hanseatic_league:2.55382762056, battle_of_austerlitz:2.54406902465, crimean_war:2.52884670854, great_northern_war:2.43968547369, league_of_nations:2.3391136231, teutonic_knights:1.99399635421, war_of_the_spanish_succession:1.87876948014",history
165897,0,francisco_franco,['he'],he,0,"benito_mussolini:0.343499429074, hannibal:0.0910101102209, emilio_aguinaldo:0.0569233039207, bernardo_o'higgins:0.0413454730188, andrew_jackson:0.0396819520607, charles_de_gaulle:0.0189298631193, winston_churchill:0.014272189012, john_marshall:0.0109627511053, george_meade:0.00983059010704, hernando_de_soto:0.009201770145, douglas_macarthur:0.00800450144527, lewis_cass:0.00744142005091, francisco_pizarro:0.00718397420107, adolf_eichmann:0.00714554867302, william_henry_harrison:0.00677865359545, john_c._calhoun:0.00673514993679",1,"francisco_franco:3.39496478523, douglas_macarthur:3.14917953488, george_armstrong_custer:2.63656254222, james_k._polk:2.53263222311, zebulon_pike:2.47817648632, thomas_jefferson:2.33931639976, emilio_aguinaldo:2.32499890865, alfred_dreyfus:2.3046228628, bernardo_o'higgins:2.19493601784, francis_drake:2.1099212253, vitus_bering:1.94732622693, eleanor_of_aquitaine:1.89644991411, francisco_pizarro:1.89547057669",history
165897,1,francisco_franco,"['he', 'he', 'he']",he,0,"emilio_aguinaldo:0.0391431785257, napoleon_iii:0.0365717697777, darius_i:0.0243714060219, konrad_adenauer:0.0212971500573, neville_chamberlain:0.0168642905331, benito_mussolini:0.0161966553343, paul_von_hindenburg:0.0158717906853, salvador_allende:0.0150099962711, adolf_eichmann:0.0138374768488, francisco_franco:0.0124998534034, nero:0.0115597679572, william_howard_taft:0.0106778835084, hannibal:0.0105015639004",0,"francisco_franco:5.81715654207, winston_churchill:2.523366973, christopher_columbus:2.48290640407, ulysses_s._grant:2.44086967271, william_mckinley:2.34633260496, margaret_thatcher:2.25008615318, ferdinand_magellan:1.97412394386, douglas_macarthur:1.9399362018, arthur_wellesley,_1st_duke_of_wellington:1.88011913713, bernardo_o'higgins:1.81356872682, darius_i:1.79152567471, william_ewart_gladstone:1.7765317059, benjamin_disraeli:1.71203079657, oliver_cromwell:1.7091679673, charlemagne:1.66077493091",history
