Answer,Person,Description,type
xylem,1,Gretchen W. McClain is an American businesswoman. She serves as the President and Chief Executive Officer of Xylem Inc..,
xylem,1,"Richard David James, best known by his stage name Aphex Twin, is a British electronic musician and composer. He has been described by The Guardian as ""the most inventive and influential figure in contemporary electronic music"", and is the co-founder of Rephlex Records with Grant Wilson-Claridge. Aphex Twin's album Selected Ambient Works 85-92 was called the best album of the 1990s by FACT Magazine.
James has also released a number of EPs as AFX from 1991 to 2005 including the Analogue Bubblebath series of EPs. In 2007, James also released some materials anonymously under the name The Tuss leading to a lot of speculations. The Tuss materials included Confederation Trough EP and Rushup Edge. He eventually admitted to being the artist behind it.
In addition to Rephlex, James has released Aphex Twin records on Warp, R&S, Sire, Mighty Force, Rabbit City and Men Records. Following public sightings of the Aphex Twin logo in London, United Kingdom, and New York City, United States, in August 2014, the Aphex Twin Twitter account confirmed the release of Syro, his sixth studio album.",
xylem,1,"Frank R. Jimenez became the 21st General Counsel of the U.S. Department of the Navy on September 25, 2006, following his nomination by George W. Bush and confirmation by the United States Senate. Jimenez served at the Navy after the change in administrations on January 20, 2009 until April 30, 2009 when he resigned to become Vice President and General Counsel at ITT Corporation.
As the General Counsel of the Navy, Jimenez managed over 600 attorneys worldwide, helped to oversee the Naval Criminal Investigative Service, and advised senior Navy and Marine Corps officials on litigation, acquisition, fiscal, environmental, property, personnel, legislative, and ethics issues.",
b-type_main-sequence_star,1,"Joel Stebbins was an American astronomer who pioneered photoelectric photometry in astronomy. He was director of the University of Illinois Observatory from 1903 to 1922 where he performed innovative work with the selenium cell. In 1922 he became director of the Washburn Observatory at the University of Wisconsin–Madison where he remained until 1948. After 1948, Stebbins continued his research at Lick Observatory until his final retirement in 1958.
Stebbins brought photoelectric photometry from its infancy in the early 1900s to a mature technique by the 1950s, when it succeeded photography as the primary method of photometry. He used the new technique to investigate eclipsing binaries, the reddening of starlight by interstellar dust, colors of galaxies, and variable stars.",
chromatic_aberration,1,"Ottaviano-Fabrizio Mossotti was an Italian physicist exiled from Italy for his liberal ideas. He later taught astronomy and physics at the University of Buenos Aires. His name is associated with a type of multiple-element lens correcting spherical aberration and coma, but not chromatic aberration. The Clausius-Mossotti formula is partly named after him. Mossotti was Chair of Experimental Physics in Buenos Aires and taught numerous Argentinian physicians his views on dielectrics, thereby becoming influential on the Argentine-German neurobiological tradition as regards electricity inside brain tissue, and later on this tradition's models of stationary waves in the interference of neural activity for short-term memory. He returned to Italy, participated in military actions after his age of sixty, and was appointed as Senator. There Mossotti also was influential on Hendrik Lorentz's views on fundamental forces, as well as more than five hundred mathematician students .",
chromatic_aberration,1,"Chester Moore Hall was a British lawyer and inventor who produced the first achromatic lenses in 1729 or 1733. He used the achromatic lens to build the first refracting telescope free from chromatic aberration.
He lived at New Hall, Sutton.
His name was also spelled Chester Moor Hall and Chester More Hall.",
chromatic_aberration,1,"Ludwig Ignaz Schupmann was a German professor of architecture and an optical designer. He is principally remembered today for his Medial and Brachymedial telescopes, types of catadioptric reflecting-refracting telescopes with Mangin mirrors that eliminate chromatic aberrations while using common optical glasses. Used in early lunar studies, they are used now in double-star work.
The asteroid 5779 Schupmann is named in his honour.†",
jihad,1,"Jihad Makdissi was the Foreign Ministry spokesman of the Syrian government from 1998 to 2012. He is a member of Syria's Christian minority and one of the few members of Assad's government fluent in English and French.
Makdissi graduated from Al-Nour high school in Damascus and studied in Paris at the ENA. He received his Master's degree in Diplomacy and International Relations in 2009 from the University of Westminster and his doctorate from the unaccredited American University of London in Media Studies in 2011. Prior to becoming official spokesman, he had worked for several years in Syria's London embassy.
On 2 December 2012 it was rumoured that he had been sacked from his position and left for the United Kingdom. Subsequently, additional rumours circulated stating that Makdissi had not been sacked but had instead defected. Makdissi was reported to be on sanctioned leave by Al Arabiya News, while Al-Manar TV reported that he was fired for straying from the official positions of the Syrian Government. In late December 2012, it was reported that Makdissi had fled to the United States.",
jihad,1,"Jihad Azour, is a Lebanese economist and politician, he served as Lebanon's minister of finance under Fouad Saniora's government from 2005 to 2008.",
jihad,1,"Khalil Ibrahim al-Wazir was a Palestinian leader and co-founder of the secular nationalist party Fatah. As a top aide of Palestine Liberation Organization Chairman Yasser Arafat, al-Wazir had considerable influence in Fatah's military activities, eventually becoming the commander of Fatah's armed wing al-Assifa. The majority of Palestinians viewed him as a martyr who died resisting the Israeli occupation or at least sympathized with his cause, while most Israelis considered him to be a high-profile terrorist for planning the killings of Israelis.
Al-Wazir became a refugee when his family was expelled from Ramla during the 1948 Arab-Israeli War, and began leading a minor fedayeen force in the Gaza Strip. In the early 1960s he established connections for Fatah with Communist regimes and prominent third-world leaders. He opened Fatah's first bureau in Algeria. He played an important role in the 1970–71 Black September clashes in Jordan, by supplying besieged Palestinian fighters with weapons and aid. Following the PLO's defeat by the Jordanian Army, al-Wazir joined the PLO in Lebanon.",
aegis,1,"Sister Mary Elizabeth Clark is the main mover of the AIDS Education and Global Information System database, previously a pre-World Wide Web bulletin board system.
Clark was born as Michael Clark, and served as a United States Navy chief petty officer, serving as an instructor in anti-submarine warfare. She later underwent a sex change operation and became Joanna Clark; knowing of her past, a U.S. Army Reserves recruiter signed her up for the Army. A year-and-a-half later she was discharged from the Army when her history became known to higher-ups. She brought suit against the Army and won a settlement of $25,000 and an honorable discharge.
During the 1970s, she was an activist for the rights of transsexuals and was instrumental in winning the right of Californians to have their gender changed on their birth-certificates and driver's licenses. In 1980, she founded and led the ACLU Transsexual Rights Committee.
In the 1980s, she felt a religious calling and worked to become an Episcopal nun.",
aegis,1,"Koichi Chigira is an anime director who has directed several anime series, usually working with GONZO studio and originally worked at Madhouse. Chigira is known for directing Full Metal Panic and Last Exile. He also directed The Tower of Druaga: the Aegis of Uruk which aired from April 1, 2008, until June 20, 2008.",
