Question ID,Answer
165921,free_soil_party
165935,battle_of_puebla
102459,charles_de_gaulle
4179,teutonic_knights
4186,songhai_empire
149709,oliver_cromwell
4396,jameson_raid
2359,george_wallace
110908,lewis_cass
104790,bonus_army
100716,seneca_falls_convention
2450,parthian_empire
102774,great_northern_war
188818,john_tyler
188825,nelson_mandela
188846,council_of_trent
170415,leon_trotsky
164339,battle_of_marathon
143871,hudson's_bay_company
143885,manifest_destiny
109088,tang_dynasty
102977,taiping_rebellion
2639,mark_antony
3864,henry_vii_of_england
2709,cyrus_the_great
105161,finland
115409,seneca_falls_convention
3535,william_the_conqueror
105217,salem_witch_trials
160531,jimmy_carter
152390,francisco_pizarro
2919,ethiopia
162743,charlemagne
115710,martin_van_buren
179200,alfred_the_great
177177,samuel_de_champlain
3150,huldrych_zwingli
105322,tecumseh
3206,teutonic_knights
140462,congress_of_vienna
183477,samuel_adams
185549,jacques_marquette
109781,han_dynasty
183519,battle_of_marathon
183526,chiang_kai-shek
148722,kublai_khan
146685,john_marshall
105728,council_of_trent
183589,marcus_garvey
3402,war_of_the_spanish_succession
157024,provisions_of_oxford
107891,justinian_i
163219,teapot_dome_scandal
3479,parthian_empire
107954,council_of_constance
3507,henry_i_of_england
122297,kublai_khan
163268,battle_of_leyte_gulf
187852,henry_the_navigator
187887,atlantic_charter
187894,william_the_conqueror
187915,henry_vii_of_england
187922,hadrian
187936,william_howard_taft
187950,parthian_empire
146013,john_tyler
167475,hudson's_bay_company
187957,mark_antony
187964,battle_of_austerlitz
187971,adolf_eichmann
122465,chester_a._arthur
1617,trent_affair
187999,john_wycliffe
188006,bonus_army
188020,seneca_falls_convention
173691,john_sherman
116333,john_c._calhoun
3731,civilian_conservation_corps
179865,seminole_wars
153244,cultural_revolution
116382,treaty_of_waitangi
155421,walter_mondale
175924,kulturkampf
186165,nagasaki
106316,tammany_hall
147308,leon_trotsky
1911,grover_cleveland
3997,prague_spring
147385,charlemagne
184275,shah_jahan
4053,babur
147427,erie_canal
151529,battle_of_hastings
184310,maria_theresa
155666,petrarch
7161,aeschylus
6188,h._g._wells
116403,ivan_turgenev
184387,things_fall_apart
6223,thomas_pynchon
174202,d._h._lawrence
106631,august_strindberg
188104,jane_eyre
108745,charles_dickens
144774,rip_van_winkle
176841,bleak_house
108878,ernest_hemingway
139608,pandora
6510,nikolai_gogol
162162,jack_kerouac
102781,athol_fugard
162176,dead_souls
6531,thomas_hardy
6573,ben_jonson
123326,philip_roth
170436,thornton_wilder
4550,henry_wadsworth_longfellow
156429,toni_morrison
104916,thomas_pynchon
188888,gulliver's_travels
141792,ivanhoe
172564,jane_austen
107044,sister_carrie
4655,kate_chopin
162568,walt_whitman
6706,andrew_marvell
121401,hesiod
121422,invisible_man
121457,derek_walcott
103026,eudora_welty
4725,wallace_stevens
164479,a_passage_to_india
148099,samuel_beckett
109200,jean_genet
164521,upton_sinclair
107205,stephen_crane
162526,j._d._salinger
6881,milan_kundera
188881,thomas_mann
105196,evelyn_waugh
6895,octavio_paz
187194,lewis_carroll
187208,nadine_gordimer
185164,joseph_conrad
4977,d._h._lawrence
160636,clifford_odets
187201,nadine_gordimer
105378,eugene_ionesco
170933,four_quartets
168910,anthony_burgess
174545,w._h._auden
7126,henry_james
121842,the_sorrows_of_young_werther
5110,toni_morrison
173047,zora_neale_hurston
6314,william_golding
7168,rabindranath_tagore
5138,wole_soyinka
173075,harriet_beecher_stowe
7189,miguel_de_cervantes
7224,j._m._coetzee
7245,yasunari_kawabata
5215,ambrose_bierce
179389,nadine_gordimer
5257,clifford_odets
107709,joseph_conrad
107716,george_bernard_shaw
5320,all_quiet_on_the_western_front
179403,joseph_conrad
157234,stephen_crane
138516,mark_twain
171304,cadmus
164402,lorraine_hansberry
5453,ivan_turgenev
148848,war_and_peace
185682,a_good_man_is_hard_to_find_(short_story)
183638,boris_pasternak
5488,death_in_venice
