Answer,Person,Specific Type,General Type
xylem,0,,
b-type_main-sequence_star,0,,
chromatic_aberration,0,,
jihad,0,,
aegis,0,,
inca_empire,0,,
cyprus,0,,
lawrence_livermore_national_laboratory,0,,
norovirus,0,,
huitzilopochtli,0,,
yosemite_national_park,0,,
darius_i,1,Monarch,"royalty,monarch"
kwashiorkor,0,,
geography_of_thailand,0,,
the_lion_king_(musical),0,,
francis_of_assisi,1,Philosopher,
eugenics,0,,
uzbekistan,0,,
bose-einstein_condensate,0,,
dieterich_buxtehude,1,Composer,"music,composer"
a_hero_of_our_time,0,,
chloroplast,0,,
giovanni_pierluigi_da_palestrina,1,Composer,"music,composer"
mirage,0,,
sodom_and_gomorrah,0,,
naming_and_necessity,0,,
citric_acid_cycle,0,,
follicle-stimulating_hormone,0,,
libertarian_party_(united_states),0,,
hero,0,,
moksha,1,Actor,
divergence,0,,
hera,0,,
fourteen_points,0,,
cyclopentadiene,0,,
ming_dynasty,0,,
pancreas,0,,
david_(michelangelo),1,Religious Leader,"religion,religious leader"
the_cherry_orchard,0,,
leyden_jar,0,,
lagrangian_point,0,,
trinitrotoluene,0,,
interferon,0,,
paramagnetism,0,,
a._j._ayer,0,,
anna_akhmatova,1,Poet,
cavendish_laboratory,0,,
james_g._blaine,1,U.S. Congressperson,"government,u s congressperson"
james_k._polk,1,US President,"government,us president"
dna,0,,
kellogg-briand_pact,0,,
symphony,0,,
phototropism,0,,
australopithecus_africanus,0,,
glass,0,,
negative_index_metamaterials,0,,
holi,0,,
sakhalin,0,,
the_hollow_men,0,,
fitness_(biology),0,,
alfred_thayer_mahan,1,Historian,
nitric_oxide,0,,
joseph_conrad,1,Novelist,
erlking,0,,
measure_for_measure,0,,
primality_test,0,,
georges_clemenceau,0,,
philip_roth,1,Novelist,
philipp_melanchthon,1,Astrologer,
myelin_sheath_gap,0,,
orfeo_ed_euridice,0,,
titanium,0,,
ionization_energy,0,,
rayon,0,,
the_stranger_(novel),0,,
hedda_gabler,0,,
saskatchewan,0,,
tropical_cyclone,0,,
apocrypha,1,Musical Artist,"music,artist"
pantheism,0,,
reye's_syndrome,0,,
helsinki,0,,
superfluid_helium-4,0,,
centriole,0,,
john_jay,0,,
rainer_maria_rilke,1,Novelist,
monopsony,0,,
stoicism,0,,
quakers,0,,
demosthenes,1,Politician,"government,politician"
ligand,0,,
finite-state_machine,0,,
ural_mountains,0,,
alzheimer's_disease,0,,
atomic_nucleus,0,,
glycolysis,0,,
filippo_lippi,1,Painting Artist,
lake_of_the_woods,0,,
kevlar,0,,
jacques_offenbach,1,Composer,"music,composer"
murder_on_the_orient_express,0,,
diabetes_mellitus,0,,
jacques-louis_david,1,Painting Artist,
angola,0,,
friedrich_hayek,1,Economist,
eliel_saarinen,1,Architect,"architecture,architect"
perturbation_theory,0,,
leonard_bernstein,1,20th century classical Artist,
carbocation,0,,
moses_(michelangelo),1,Prophet,
sekhmet,0,,
edward_said,1,Professor,
semiconductor,0,,
phaedo,0,,
scarlet_fever,0,,
book_of_the_dead,0,,
giambattista_vico,1,Philosopher,
slide_rule,0,,
otto_von_bismarck,1,Statesman,
dracula,0,,
chlorine,0,,
jameson_raid,0,,
buster_keaton,1,Actor,
nibelungenlied,0,,
samuel_pierpont_langley,1,Physicist,
silicon,0,,
labour_party_(uk),0,,
lie_algebra,0,,
sonogashira_coupling,0,,
quadrupole,0,,
feldspar,0,,
pulsar,0,,
clara_barton,1,Nurse,
silent_cry,0,,
marian_anderson,1,Singer,
three_studies_for_figures_at_the_base_of_a_crucifixion,0,,
shirley_jackson,1,Novelist,
andrei_rublev_(film),1,Painting Artist,
erikson's_stages_of_psychosocial_development,0,,
undine_(lortzing),0,,
atalanta,0,,
gospel_of_thomas,0,,
sulawesi,0,,
drosophila_melanogaster,0,,
franz_kafka,1,Novelist,
alfred_russel_wallace,1,Evolutionary Biologist,
olbers'_paradox,0,,
alexander_pope,1,Poet,
federal_emergency_management_agency,0,,
atlas_mountains,0,,
ferroelectricity,0,,
fermionic_condensate,0,,
anthony_van_dyck,1,Painting Artist,
ilmarinen,0,,
harmonic_oscillator,0,,
zeno_of_elea,1,Philosopher,
cornwall,0,,
alien_and_sedition_acts,0,,
morality,0,,
beyond_the_pleasure_principle,0,,
george_grosz,1,Painting Artist,
otello,0,,
banff_national_park,0,,
cross_of_gold_speech,0,,
oeconomicus,0,,
wild_strawberries_(film),0,,
spiritual_exercises_of_ignatius_of_loyola,0,,
neutron_star,0,,
astarte,0,,
the_road_to_serfdom,0,,
jacquerie,0,,
benedetto_croce,1,Philosopher,
cupid,1,Pop Artist,
meno,0,,
lepidoptera,0,,
rite_of_passage,0,,
agni,0,,
baruch_spinoza,1,Philosopher,
robert_lowie,1,Anthropologist,
hard_times,0,,
tungsten,0,,
lactose_intolerance,0,,
lake_michigan,0,,
heracles,0,,
saul,1,Monarch,"royalty,monarch"
brachiosaurus,0,,
supply_(economics),0,,
queen_of_sheba,1,Person Or Being In Fiction,"fictional universe,person in fiction"
escape_from_freedom,0,,
crimean_war,0,,
ebro,0,,
john_peter_zenger,1,Journalist,
hammond's_postulate,0,,
puck_(a_midsummer_night's_dream),0,,
delphi,0,,
leon_trotsky,1,Military Commander,"military,military commander"
meissner_effect,0,,
david_mamet,1,Dramatist,
aten,0,,
magnesium,0,,
polaris_(comics),0,,
friedel-crafts_reaction,0,,
safavid_dynasty,0,,
butane,0,,
william_jennings_bryan,1,U.S. Congressperson,"government,u s congressperson"
maximilien_de_robespierre,1,Politician,"government,politician"
rossby_wave,0,,
alcuin,1,Philosopher,
normandy,0,,
philip_ii_of_macedon,1,Monarch,"royalty,monarch"
obscenity,0,,
otto_rank,1,Psychologist,
medulla_oblongata,0,,
kerr_metric,0,,
pregnancy,0,,
hadith,0,,
symphony_no._104_(haydn),0,,
prisoner's_dilemma,0,,
markov_chain,0,,
angkor,0,,
sleipnir,1,Musical Group,"music,musical group"
corpus_luteum,0,,
chile,0,,
huey_long,1,U.S. Congressperson,"government,u s congressperson"
pompeii,0,,
essential_amino_acid,0,,
calcium,0,,
alkaloid,0,,
joshua_reynolds,1,Painting Artist,
taqiyya,0,,
demeter,0,,
yggdrasil,0,,
neville_chamberlain,1,Politician,"government,politician"
middletown_studies,0,,
bill_of_attainder,0,,
inferior_good,0,,
george_washington_(houdon),1,US President,"government,us president"
the_death_of_socrates,0,,
george_b._mcclellan,1,Military Commander,"military,military commander"
immune_tolerance,0,,
gamma-ray_burst,0,,
adrenal_gland,0,,
tishrei,0,,
nervous_conditions,0,,
buddy_rich,1,Bandleader,
predestination_(calvinism),0,,
lake_kivu,0,,
charles_a._beard,1,Historian,
lady_with_an_ermine,0,,
real_irish_republican_army,0,,
djibouti,0,,
the_return_of_the_native,0,,
transnistria,0,,
georg_wilhelm_friedrich_hegel,1,Philosopher,
golgi_apparatus,0,,
max_horkheimer,1,Philosopher,
fortran,0,,
scrotum,0,,
telemachus,0,,
guinevere,0,,
price_discrimination,0,,
hudson's_bay_company,0,,
sarpedon,0,,
oaxaca,0,,
lens_(anatomy),0,,
"toccata_and_fugue_in_d_minor,_bwv_565",0,,
mark_antony,1,Military Commander,"military,military commander"
ghosts_(play),0,,
g._e._m._anscombe,1,Philosopher,
hmong_customs_and_culture,0,,
trombone,0,,
neutrino,0,,
dark_matter,0,,
pleiades,0,,
sociology,0,,
public_good,0,,
cynicism_(philosophy),0,,
james_buchanan,1,US President,"government,us president"
noam_chomsky,1,Historian,
syphilis,0,,
lawrence_klein,1,Organization leader,"business,board member"
brian_boru,1,Military Commander,"military,military commander"
epr_paradox,0,,
bamboo,0,,
body_of_tibia,0,,
benjamin_disraeli,1,Statesman,
cytochrome_c,0,,
epicureanism,0,,
leptin,0,,
albany_congress,0,,
pitcairn_islands,0,,
botany_bay,0,,
thermodynamic_activity,0,,
samuel_richardson,1,Novelist,
imre_lakatos,1,Philosopher,
john_henry_(folklore),0,,
golden_legend,0,,
richard_posner,1,Professor,
stanford_prison_experiment,0,,
duodenum,0,,
herbert_spencer,1,Philosopher,
skin_effect,0,,
simpson_desert,0,,
beatitudes,0,,
anna_freud,1,Psychologist,
melanin,0,,
tasmania,0,,
meditations_on_first_philosophy,0,,
anton_chekhov,1,Dramatist,
original_sin,1,Musical Artist,"music,artist"
orion_(constellation),0,,
tilman_riemenschneider,1,Sculpture Artist,
procyon,0,,
victoria_(australia),0,,
earnshaw's_theorem,0,,
maunder_minimum,0,,
symphony_of_psalms,0,,
the_writing_on_the_wall,0,,
internal_energy,0,,
melanoma,0,,
we_are_the_night_(film),0,,
being_and_nothingness,0,,
cambodia,0,,
upanishads,0,,
lady_macbeth_of_the_mtsensk_district_(opera),0,,
rh_blood_group_system,0,,
sherwood_anderson,1,Novelist,
lorentz_transformation,0,,
mahdi,0,,
glycosylation,0,,
pion,0,,
hexokinase,0,,
learned_helplessness,0,,
bruno_latour,1,Author,"book,author"
bunraku,0,,
gallbladder,0,,
ajax_(mythology),0,,
syntactic_structures,0,,
laminin,0,,
middle_english,0,,
"the_lion,_the_witch_and_the_wardrobe",0,,
thiol,0,,
lou_dobbs,1,Commentator,
"joseph_lister,_1st_baron_lister",0,,
arthur_miller,1,Dramatist,
robert_moses,1,Urban planner,
civilian_conservation_corps,0,,
homo_habilis,0,,
rationality,0,,
erich_maria_remarque,1,Novelist,
alfred_adler,1,Organization leader,"business,board member"
sonora,0,,
the_third_wave_(toffler),0,,
femur,0,,
indus_river,0,,
book_of_daniel,0,,
orson_welles,1,Radio personality,
islets_of_langerhans,0,,
william_walton,1,Composer,"music,composer"
norman_rockwell,1,Painting Artist,
pontius_pilate,1,Person Or Being In Fiction,"fictional universe,person in fiction"
compromise_of_1850,0,,
newton's_rings,0,,
horn_of_africa,0,,
decarboxylation,0,,
michael_tippett,1,Composer,"music,composer"
vascular_endothelial_growth_factor,0,,
human_papillomavirus,0,,
ancient_greek,0,,
all_my_sons,0,,
adaptive_optics,0,,
rhodopsin,0,,
etruscan_mythology,0,,
leo_strauss,1,Philosopher,
beta-lactamase,0,,
francisco_i._madero,1,Military Commander,"military,military commander"
cavalleria_rusticana,0,,
eurystheus,0,,
ferrofluid,0,,
myoglobin,0,,
pryderi,0,,
tierra_del_fuego,0,,
calgary,0,,
william_penn,1,Author,"book,author"
gerhard_richter,1,Painting Artist,
henry_l._stimson,1,Politician,"government,politician"
to_the_lighthouse,0,,
oregon,0,,
cystic_fibrosis,0,,
talcott_parsons,1,Sociologist,
freyja,1,Musical Artist,"music,artist"
the_tribute_money_(masaccio),0,,
dietrich_fischer-dieskau,1,Singer,
pyrenees,0,,
four_quartets,0,,
the_picture_of_dorian_gray,0,,
jan_tinbergen,1,Economist,
feast_of_the_immaculate_conception,0,,
