1812_overture,1812 Overture,YES
4_vesta,4 Vesta,YES
a._a._milne,A. A. Milne,YES
a._e._housman,A. E. Housman,YES
a._j._ayer,A. J. Ayer,YES
a._philip_randolph,A. Philip Randolph,YES
a_child_of_our_time,A Child of Our Time,YES
a_clockwork_orange,A Clockwork Orange,YES
a_connecticut_yankee_in_king_arthur's_court,A Connecticut Yankee in King Arthur's Court,YES
a_dance_to_the_music_of_time_(painting),A Dance to the Music of Time (painting),YES
a_doll's_house,A Doll's House,YES
a_farewell_to_arms,A Farewell to Arms,YES
a_good_man_is_hard_to_find_(short_story),A Good Man Is Hard to Find (short story),YES
a_hero_of_our_time,A Hero of Our Time,YES
a_letter_concerning_toleration,A Letter Concerning Toleration,YES
a_passage_to_india,A Passage to India,YES
a_portrait_of_the_artist_as_a_young_man,A Portrait of the Artist as a Young Man,YES
a_priori_and_a_posteriori,A priori and a posteriori,YES
a_raisin_in_the_sun,A Raisin in the Sun,YES
a_room_with_a_view,A Room with a View,YES
a_shropshire_lad,A Shropshire Lad,YES
a_streetcar_named_desire_(play),A Streetcar Named Desire (play),YES
a_sunday_afternoon_on_the_island_of_la_grande_jatte,A Sunday Afternoon on the Island of La Grande Jatte,YES
a_tale_of_two_cities,A Tale of Two Cities,YES
a_theory_of_justice,A Theory of Justice,YES
a_treatise_of_human_nature,A Treatise of Human Nature,YES
aaa_proteins,AAA proteins,YES
aardvark,Aardvark,YES
aaron,Aaron,YES
aaron_burr,Aaron Burr,YES
aaron_copland,Aaron Copland,YES
aaron's_rod,Aaron's rod,YES
abacus,Abacus,YES
abbas_kiarostami,Abbas Kiarostami,YES
abdomen,Abdomen,YES
abraham,Abraham,YES
abraham_in_islam,Abraham in Islam,YES
abraham_maslow,Abraham Maslow,YES
absalom,Absalom,YES
"absalom,_absalom!","Absalom, Absalom!",YES
abscisic_acid,Abscisic acid,YES
absinthe,Absinthe,YES
absolute_zero,Absolute zero,YES
abstract_expressionism,Abstract expressionism,YES
acadia,Acadia,YES
accretion_disc,Accretion disc,YES
acetic_acid,Acetic acid,YES
acetone,Acetone,YES
acetylation,Acetylation,YES
acetylcholine,Acetylcholine,YES
acid,Acid,YES
acne_vulgaris,Acne vulgaris,YES
actaeon,Actaeon,YES
actin,Actin,YES
actinide,Actinide,YES
action_(physics),Action (physics),YES
action_at_a_distance,Action at a distance,YES
action_potential,Action potential,YES
activation_energy,Activation energy,YES
active_galactic_nucleus,Active galactic nucleus,YES
